id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,stage,2023-11-15 11:53:32+00:00,2023-11-15 11:53:32+00:00,2023-11-15 11:58:32+00:00,2.0
,-28800,,stage,2023-11-15 11:58:32+00:00,2023-11-15 11:58:32+00:00,2023-11-15 12:03:32+00:00,2.0
,-28800,,stage,2023-11-15 12:03:32+00:00,2023-11-15 12:03:32+00:00,2023-11-15 12:08:32+00:00,1.0
,-28800,,stage,2023-11-15 12:08:32+00:00,2023-11-15 12:08:32+00:00,2023-11-15 12:13:32+00:00,2.0
,-28800,,stage,2023-11-15 12:13:32+00:00,2023-11-15 12:13:32+00:00,2023-11-15 12:18:32+00:00,2.0
,-28800,,stage,2023-11-15 12:18:32+00:00,2023-11-15 12:18:32+00:00,2023-11-15 12:23:32+00:00,2.0
,-28800,,stage,2023-11-15 12:23:32+00:00,2023-11-15 12:23:32+00:00,2023-11-15 12:28:32+00:00,2.0
,-28800,,stage,2023-11-15 12:28:32+00:00,2023-11-15 12:28:32+00:00,2023-11-15 12:33:32+00:00,2.0
,-28800,,stage,2023-11-15 12:33:32+00:00,2023-11-15 12:33:32+00:00,2023-11-15 12:38:32+00:00,2.0
,-28800,,stage,2023-11-15 12:38:32+00:00,2023-11-15 12:38:32+00:00,2023-11-15 12:43:32+00:00,3.0
,-28800,,stage,2023-11-15 12:43:32+00:00,2023-11-15 12:43:32+00:00,2023-11-15 12:48:32+00:00,3.0
,-28800,,stage,2023-11-15 12:48:32+00:00,2023-11-15 12:48:32+00:00,2023-11-15 12:53:32+00:00,3.0
,-28800,,stage,2023-11-15 12:53:32+00:00,2023-11-15 12:53:32+00:00,2023-11-15 12:58:32+00:00,4.0
,-28800,,stage,2023-11-15 12:58:32+00:00,2023-11-15 12:58:32+00:00,2023-11-15 13:03:32+00:00,3.0
,-28800,,stage,2023-11-15 13:03:32+00:00,2023-11-15 13:03:32+00:00,2023-11-15 13:08:32+00:00,3.0
,-28800,,stage,2023-11-15 13:08:32+00:00,2023-11-15 13:08:32+00:00,2023-11-15 13:13:32+00:00,3.0
,-28800,,stage,2023-11-15 13:13:32+00:00,2023-11-15 13:13:32+00:00,2023-11-15 13:18:32+00:00,3.0
,-28800,,stage,2023-11-15 13:18:32+00:00,2023-11-15 13:18:32+00:00,2023-11-15 13:23:32+00:00,2.0
,-28800,,stage,2023-11-15 13:23:32+00:00,2023-11-15 13:23:32+00:00,2023-11-15 13:28:32+00:00,2.0
,-28800,,stage,2023-11-15 13:28:32+00:00,2023-11-15 13:28:32+00:00,2023-11-15 13:33:32+00:00,2.0
,-28800,,stage,2023-11-15 13:33:32+00:00,2023-11-15 13:33:32+00:00,2023-11-15 13:38:32+00:00,4.0
,-28800,,stage,2023-11-16 05:42:33+00:00,2023-11-16 05:42:33+00:00,2023-11-16 05:47:33+00:00,4.0
,-28800,,stage,2023-11-16 05:47:33+00:00,2023-11-16 05:47:33+00:00,2023-11-16 05:52:33+00:00,4.0
,-28800,,stage,2023-11-16 05:52:33+00:00,2023-11-16 05:52:33+00:00,2023-11-16 05:57:33+00:00,4.0
,-28800,,stage,2023-11-16 05:57:33+00:00,2023-11-16 05:57:33+00:00,2023-11-16 06:02:33+00:00,4.0
,-28800,,stage,2023-11-16 06:02:33+00:00,2023-11-16 06:02:33+00:00,2023-11-16 06:07:33+00:00,2.0
,-28800,,stage,2023-11-16 06:07:33+00:00,2023-11-16 06:07:33+00:00,2023-11-16 06:12:33+00:00,2.0
,-28800,,stage,2023-11-16 06:12:33+00:00,2023-11-16 06:12:33+00:00,2023-11-16 06:17:33+00:00,2.0
,-28800,,stage,2023-11-16 06:17:33+00:00,2023-11-16 06:17:33+00:00,2023-11-16 06:22:33+00:00,2.0
,-28800,,stage,2023-11-16 06:22:33+00:00,2023-11-16 06:22:33+00:00,2023-11-16 06:27:33+00:00,1.0
,-28800,,stage,2023-11-16 06:27:33+00:00,2023-11-16 06:27:33+00:00,2023-11-16 06:32:33+00:00,1.0
,-28800,,stage,2023-11-16 06:32:33+00:00,2023-11-16 06:32:33+00:00,2023-11-16 06:37:33+00:00,1.0
,-28800,,stage,2023-11-16 06:37:33+00:00,2023-11-16 06:37:33+00:00,2023-11-16 06:42:33+00:00,1.0
,-28800,,stage,2023-11-16 06:42:33+00:00,2023-11-16 06:42:33+00:00,2023-11-16 06:47:33+00:00,1.0
,-28800,,stage,2023-11-16 06:47:33+00:00,2023-11-16 06:47:33+00:00,2023-11-16 06:52:33+00:00,1.0
,-28800,,stage,2023-11-16 06:52:33+00:00,2023-11-16 06:52:33+00:00,2023-11-16 06:57:33+00:00,2.0
,-28800,,stage,2023-11-16 06:57:33+00:00,2023-11-16 06:57:33+00:00,2023-11-16 07:02:33+00:00,2.0
,-28800,,stage,2023-11-16 07:02:33+00:00,2023-11-16 07:02:33+00:00,2023-11-16 07:07:33+00:00,1.0
,-28800,,stage,2023-11-16 07:07:33+00:00,2023-11-16 07:07:33+00:00,2023-11-16 07:12:33+00:00,1.0
,-28800,,stage,2023-11-16 07:12:33+00:00,2023-11-16 07:12:33+00:00,2023-11-16 07:17:33+00:00,1.0
,-28800,,stage,2023-11-16 07:17:33+00:00,2023-11-16 07:17:33+00:00,2023-11-16 07:22:33+00:00,1.0
,-28800,,stage,2023-11-16 07:22:33+00:00,2023-11-16 07:22:33+00:00,2023-11-16 07:27:33+00:00,1.0
,-28800,,stage,2023-11-16 07:27:33+00:00,2023-11-16 07:27:33+00:00,2023-11-16 07:32:33+00:00,4.0
,-28800,,stage,2023-11-16 07:32:33+00:00,2023-11-16 07:32:33+00:00,2023-11-16 07:37:33+00:00,2.0
